Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
sym9_146.qasm,464.0,320.0,343.0,264.0,0.07528667000000056
decod24-enable_126.qasm,421.0,341.0,284.0,257.0,0.09296404500000044
ham7_104.qasm,432.0,327.0,299.0,265.0,0.11719019300000078
ising_model_16.qasm,348.0,41.0,150.0,20.0,0.0973033430000001
mod8-10_178.qasm,438.0,319.0,299.0,260.0,0.06768545499999945
rd84_142.qasm,481.0,297.0,351.0,248.0,0.07898932300000006
ex3_229.qasm,517.0,393.0,346.0,312.0,0.1079662809999995
4gt4-v0_73.qasm,481.0,379.0,329.0,298.0,0.12920114699999985
pf1_30_after.qasm,546.0,320.0,369.0,253.0,0.12987395600000085
pf1_30_before.qasm,549.0,390.0,371.0,310.0,0.14684051300000078
mod8-10_177.qasm,571.0,430.0,390.0,352.0,0.09508156199999895
alu-v2_31.qasm,519.0,404.0,351.0,318.0,0.09334727199999904
rd53_131.qasm,591.0,465.0,407.0,372.0,0.1327311249999994
C17_204.qasm,602.0,459.0,408.0,360.0,0.08417412700000071
cnt3-5_180.qasm,589.0,370.0,393.0,284.0,0.09299674899999921
alu-v2_30.qasm,637.0,474.0,442.0,371.0,0.14004607100000044
mod5adder_127.qasm,704.0,539.0,476.0,422.0,0.13398497200000037
qft_16.qasm,0.0,0.0,0.0,0.0,0.006658879999999812
pf1_40_before.qasm,510.0,324.0,275.0,225.0,0.19919159999999891
pf2_20_before.qasm,859.0,727.0,581.0,563.0,0.16510891099999903
pf1_40_after.qasm,505.0,259.0,273.0,183.0,0.17665663399999865
rd53_133.qasm,693.0,525.0,483.0,411.0,0.16037502599999875
pf2_10_after.qasm,1000.0,626.0,680.0,469.0,0.15257974000000019
majority_239.qasm,837.0,687.0,593.0,547.0,0.16591743700000094
ex2_227.qasm,849.0,651.0,604.0,523.0,0.15128211000000036
cm82a_208.qasm,838.0,647.0,587.0,519.0,0.12237993399999958
pf1_50_before.qasm,1057.0,578.0,761.0,456.0,0.523257684999999
pf1_50_after.qasm,1022.0,429.0,727.0,339.0,0.495141456999999
sf_274.qasm,994.0,743.0,672.0,600.0,0.1849116560000006
sf_276.qasm,934.0,679.0,612.0,525.0,0.17672361300000006
pf2_30_before.qasm,1180.0,999.0,764.0,754.0,0.28877700299999987
con1_216.qasm,1377.0,1032.0,993.0,835.0,0.24591039899999956
wim_266.qasm,1303.0,933.0,904.0,734.0,0.22186429799999985
rd53_130.qasm,1297.0,976.0,884.0,760.0,0.2281528349999995
pf2_40_before.qasm,1109.0,762.0,557.0,473.0,0.3944865220000011
pf2_20_after.qasm,2006.0,1384.0,1350.0,1070.0,0.39861267400000244
f2_232.qasm,1560.0,1211.0,1112.0,974.0,0.2663071739999978
cm152a_212.qasm,1711.0,1349.0,1212.0,1094.0,0.2841607090000018
rd53_251.qasm,1779.0,1339.0,1252.0,1085.0,0.3444383559999977
hwb5_53.qasm,1777.0,1400.0,1239.0,1135.0,0.29062778400000155
pf2_50_before.qasm,2116.0,1450.0,1423.0,1078.0,0.8771860670000002
pf4_10_before.qasm,1928.0,1703.0,1372.0,1341.0,0.38110608099999865
cm42a_207.qasm,2440.0,1785.0,1689.0,1408.0,0.3787436239999984
pm1_249.qasm,2440.0,1785.0,1689.0,1408.0,0.39540275899999955
pf2_30_after.qasm,2734.0,1661.0,1746.0,1225.0,0.6301863680000004
dc1_220.qasm,2389.0,1706.0,1637.0,1294.0,0.4079197129999983
squar5_261.qasm,3423.0,2614.0,2600.0,2177.0,0.44694679199999854
pf2_40_after.qasm,2468.0,1506.0,1161.0,908.0,0.8444081190000006
pf4_20_before.qasm,4004.0,3471.0,2869.0,2755.0,0.8583475870000008
pf4_10_after.qasm,4305.0,2815.0,2781.0,2057.0,0.8680827620000002
pf2_50_after.qasm,4861.0,2777.0,3202.0,2026.0,1.895337350000002
sqrt8_260.qasm,4807.0,3678.0,3609.0,3046.0,0.8328617550000033
z4_268.qasm,4392.0,3188.0,3169.0,2598.0,0.8931527889999984
radd_250.qasm,4889.0,3624.0,3579.0,2945.0,0.930951641
adr4_197.qasm,5146.0,3798.0,3794.0,3096.0,1.0658199709999963
sym6_145.qasm,5057.0,3909.0,3489.0,3138.0,0.9256736889999999
pf4_30_before.qasm,5433.0,4694.0,3722.0,3618.0,1.652165687
misex1_241.qasm,6975.0,5388.0,5047.0,4369.0,1.3537517749999992
rd73_252.qasm,7929.0,5903.0,5841.0,4825.0,1.7548968489999979
pf4_20_after.qasm,9054.0,6057.0,5873.0,4483.0,2.5434857560000026
cycle10_2_110.qasm,9682.0,7671.0,7236.0,6340.0,2.1319251460000004
hwb6_56.qasm,8698.0,6588.0,6023.0,5194.0,2.2496026939999965
square_root_7.qasm,12000.0,8262.0,9873.0,7270.0,3.137375353000003
pf4_30_after.qasm,14154.0,9270.0,9334.0,6924.0,4.558174434999998
ham15_107.qasm,13370.0,10113.0,9870.0,8266.0,3.3517479770000023
dc2_222.qasm,14426.0,11118.0,10669.0,9081.0,3.471040641000002
